time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-12 00:00:00+00:00,137.0,4.0,651,37
2023-10-13 00:00:00+00:00,138.0,8.0,677,44
2023-10-14 00:00:00+00:00,46.0,7.0,188,24
2023-10-15 00:00:00+00:00,6.0,2.0,68,18
2023-10-16 00:00:00+00:00,96.0,10.0,813,36
2023-10-17 00:00:00+00:00,45.0,14.0,479,52
2023-10-18 00:00:00+00:00,62.0,9.0,730,156
2023-10-19 00:00:00+00:00,76.0,8.0,400,39
2023-10-20 00:00:00+00:00,38.0,4.0,282,43
2023-10-21 00:00:00+00:00,16.0,2.0,146,21
2023-10-22 00:00:00+00:00,17.0,3.0,208,17
2023-10-23 00:00:00+00:00,62.0,6.0,283,35
2023-10-24 00:00:00+00:00,61.0,5.0,270,44
2023-10-25 00:00:00+00:00,74.0,6.0,560,72
2023-10-26 00:00:00+00:00,,,9,4
